empresa;nome;endereco;bairro;cidade;estado;cep;latitude;longitude
PetCamp;;;;;;;;
PetCamp;Americana - PetCamp Americana - Loja 049;Rua Olivindo Fonseca;Vila Margarida;Americana;SP;13473303;-22.722279425230226;-47.307288466268965
PetCamp;Amparo - PetCamp Amparo - Loja 115;R Comendador Guimarães;;Amparo;SP;;;
PetCamp;Araraquara - PetCamp Alameda - Loja 055;Avenida Francisco Vaz Filho;Jardim Brasil (Vila Xavier);Araraquara;SP;14811128;-21.783948178421035;-48.15794603558206
PetCamp;Araraquara - PetCamp Selmi - Loja 016;Avenida Queiroz Filho;Jardim das Roseiras;Araraquara;SP;14806017;-21.76883641607764;-48.17153822208965
PetCamp;Araraquara - PetCamp Damha - Loja 051;Avenida Jacarandá;Residencial Village Damha;Araraquara;SP;14804479;-21.75437858186139;-48.19260526441794
PetCamp;Araras - PetCamp Araras - 092;Rua Coronel André Ulson Júnior;Centro;Araras;SP;13600690;-22.3568;-47.38062
PetCamp;Araras - PetCamp Araras Belvedere - Loja 113;Av Padre Alarico Zacharias;;Araras;SP;;;
PetCamp;Araçatuba - PetCamp Araçatuba - Loja 106;Rua Rio Grande do Sul;Jardim Nova Yorque;Araçatuba;SP;16018015;-21.222266755713616;-50.43972867475035
PetCamp;Avaré - Avaré - 080;Travessa Tenente Cabral;Braz I;Avaré;SP;18701181;-23.09747;-48.91863
PetCamp;Barretos - Petcamp Barretos Industrial - 097;Avenida Manoel Serafim;Industrial;Barretos;SP;14783285;-20.57212;-48.55842
PetCamp;Barretos - PetCamp Barretos - Loja 062;Avenida Pedro Lelis Dias;Nobre Ville;Barretos;SP;14783700;-20.544379547117366;-48.577271520238426
PetCamp;Bauru - PetCamp Bauru Centro- Loja 108;Rua Gustavo maciel;;Bauru;SP;;;
PetCamp;Bauru - PetCamp Bauru Aiello - Loja 089;Avenida Affonso José Aiello 150 Quadra 19;Vila Aviação;Bauru;SP;17018905;-22.35695;-49.04852
PetCamp;Bauru - PetCamp Bauru - Loja 076;Travessa Bom Jardim;Vila Cardia;Bauru;SP;17013700;-22.325417542352795;-49.055696622089656
PetCamp;Birigui - PetCamp Birigui - Loja 094;Rua Dona Rosa;Vila Giampietro;Birigüi;SP;16200777;-21.29230283693745;-50.34865737116407
PetCamp;Boituva - PetCamp Boituva - Loja 034;Rua Quatro;Parque Novo Mundo;São Carlos;SP;13573508;-23.28766968681494;-47.65285352023861
PetCamp;Botucatu - PetCamp Botucatu - Loja 081;Rua Cruz Pereira 352;Vila dos Lavradores;Botucatu;SP;18609970;-22.872728057383572;-48.44705296441792
PetCamp;Campinas - PetCamp Barão - Loja 031;Rua Tereza Zogbi Geraij Mokarzel;Barão Geraldo;Campinas;SP;13084065;-22.829728935399057;-47.078388976059294
PetCamp;Campinas - PetCamp Barão Geraldo - Loja 003;Rua Francisca Resende Merciai;Barão Geraldo;Campinas;SP;13084195;-22.827794684087056;-47.07985386441755
PetCamp;Campinas - PetCamp Barão de Itapura- Loja 102;Rua Cristóvão Colombo;Vila Rossi;Campinas;SP;13023230;-22.89018757405804;-47.06195283558206
PetCamp;Campinas - PetCamp Norte Sul - Loja 004;Rua Antônio Lapa;Cambuí;Campinas;SP;13025241;-22.89873787502705;-47.0478692067462
PetCamp;Campinas - PetCamp Aquidabã - Loja 005;Rua Luzitana;Centro;Campinas;SP;13015120;-22.91003992109945;-47.05357517791034
PetCamp;Campinas - PetCamp Jasmim - Loja 029;Rua dos Cravos;Santa Cândida;Vinhedo;SP;13286394;-22.855858080365806;-47.04648392023861
PetCamp;Campinas - PetCamp Padre Anchieta - Loja 032;Rua Santo Agostinho;Conjunto Habitacional Padre Anchieta;Campinas;SP;13068313;-22.862483267419076;-47.14936673558208
PetCamp;Campinas - PetCamp Rondon - Loja 002;Rua Domingos Moro;Jardim Chapadão;Campinas;SP;13070026;-22.89326151842209;-47.08584905092552
PetCamp;Campinas - PetCamp Prado - Loja 028;Rua São José do Rio Pardo;Jardim Nova Europa;Campinas;SP;13040087;-22.94487601996194;-47.051761793253796
PetCamp;Campinas - PetCamp Jd do Lago - Loja 007;Rua das Rosas;Vila Mimosa;Campinas;SP;13050061;-22.94390317935392;-47.09061125092553
PetCamp;Campinas - PetCamp Enxuto - Loja 065;Avenida John Boyd Dunlop;Jardim Aurélia;Campinas;SP;13033000;-22.90887481090361;-47.09557396441792
PetCamp;Campinas - PetCamp Amoreiras - Loja 078;Rua Pedro Galhardi;Jardim Yeda;Campinas;SP;13060616;-22.94481;-47.11121
PetCamp;Campinas - PetCamp Ciro Leite - Loja 030;Rua José de Sousa Galvão;Vila Mimosa;Campinas;SP;13050041;-22.940225373425246;-47.08794986626896
PetCamp;Campinas - PetCamp Taquaral - Loja 027;Praça Manoel Lousada;Jardim Bela Vista;Campinas;SP;13077039;-22.87899553175183;-47.04561333558208
PetCamp;Campinas - PetCamp Suaçuna - Loja 086;Rua Jurura;Vila Aeroporto;Campinas;SP;13054109;-22.97411;-47.128
PetCamp;Campinas - PetCamp Carmona - Loja 001;Rua Doutor Gabriel Penteado;Vila João Jorge;Campinas;SP;13041305;-22.918487357445613;-47.061044220238614
PetCamp;Campinas - PetCamp Abolição - Loja 083;Rua Ernesto Buzzo;Vila Joaquim Inácio;Campinas;SP;13045670;-22.92941;-47.0353
PetCamp;Capivari - PetCamp Capivari - Loja 054;Rua B;Santo Antônio;Aracaju;SE;49061109;-22.998987821784105;-47.515544035582074
PetCamp;Catanduva - PetCamp Catanduva - Loja 060;Rua Avaí;Centro;Catanduva;SP;15800150;-21.138961182810572;-48.96715863558206
PetCamp;Cosmópolis - PetCamp Cosmópolis - Loja 021;Rua Campinas;Vila Fontana;Cosmópolis;SP;13150572;-22.647103822495957;-47.18998525092553
PetCamp;Franca - PetCamp Franca - Loja 068;Rua Pernambuco;Vila Aparecida;Franca;SP;14401322;-20.52705;-47.38601
PetCamp;Franca - PetCamp Franca BR - Loja 073;Rua Pernambuco;Vila Aparecida;Franca;SP;14401322;-20.526935204617665;-47.386016264417925
PetCamp;Guaratinguetá - PetCamp Guaratinguetá - Loja 107;Rua Rafael Mollica;Parque Residencial Beira Rio;Guaratinguetá;SP;12517600;-22.796920882175556;-45.18621245889615
PetCamp;Hortolândia - PetCamp Rosolem - Loja 026;Rua Jorgina de Souza Francisca;Jardim Viagem;Hortolândia;SP;13185376;-22.901028925733154;-47.17273733558206
PetCamp;Hortolândia - PetCamp Hortolândia - Loja 025;Rua Príncipe Luis II;Residencial Jardim de Mônaco;Hortolândia;SP;13189278;-22.868541330834386;-47.22618827976139
PetCamp;Indaiatuba - PetCamp Itaici - Loja 020;Praça Luiz Mantoanelli;Itaici;Indaiatuba;SP;13340569;-23.105831175039437;-47.18222163558205
PetCamp;Indaiatuba - PetCamp Indaiatuba - Loja 022;Rua Trinta;Jardins do Império;Indaiatuba;SP;13348698;-23.09478311673027;-47.2253829067462
PetCamp;Indaiatuba - PetCamp Indaiás - Loja 063;Rua dos Indaiás;Vila Costa e Silva;Indaiatuba;SP;13344182;-23.10171598636199;-47.21199982208965
PetCamp;Itapetininga - PetCamp Itapetininga - Loja 036;Praça Sebastião Garcia;Vila Rio Branco;Itapetininga;SP;18208085;-23.59272151107657;-48.0600790067462
PetCamp;Itaquaquecetuba - PetCamp Itaquaquecetuba - Loja 082;Rua Padre João Manoel;Jardim Carolina;Itaquaquecetuba;SP;08588340;-23.4984;-46.34929
PetCamp;Itatiba - PetCamp Itatiba Centro - Loja 077;Ladeira Capitão Mello;Centro;Itatiba;SP;13250341;-23.00424;-46.83839
PetCamp;Itatiba - PetCamp Galetto - Loja 066;Avenida Pedro Mascagni;Jardim Galetto;Itatiba;SP;13253140;-23.009154487087482;-46.82369863558206
PetCamp;Itu - PetCamp Itu - Loja 037;Rua Argemiro da Silveira D'Elboux;Alto da Vila Nova;Itu;SP;13309330;-23.279469607801204;-47.29054502208966
PetCamp;Jaboticabal - PetCamp Jaboticabal - Loja 091;Rua Santo André;Nova Jaboticabal;Jaboticabal;SP;14890000;-21.26606;-48.30981
PetCamp;Jacareí - PetCamp Jacareí Letras - Loja 072;Rua Abílio de Almeida;Loteamento Villa Branca;Jacareí;SP;12301602;-23.264778684701838;-45.9435042932538
PetCamp;Jaguariúna - PetCamp Jaguariúna - Loja 019;Avenida Lauro de Carvalho;Centro;Jaguariúna;SP;13910025;-22.705751093919865;-46.990374477910336
PetCamp;Jundiaí - PetCamp Engordadouro - Loja 093;Rua Ravenna;Engordadouro;Jundiaí;SP;13214670;-23.15307056767369;-46.9137651
PetCamp;Jundiaí - PetCamp Colônia - Loja 043;Rua Agostinho Balestrin;Núcleo Colonial Barão de Jundiaí;Jundiaí;SP;13219647;-23.18275404343197;-46.85640683558207
PetCamp;Jundiaí - PetCamp Jd Retiro - Loja 052;Praça Raphael Avallone;Parque do Colégio;Jundiaí;SP;13209159;-23.18741760673065;-46.897217464417935
PetCamp;Leme - PetCamp Leme - Loja 061;Avenida Benedito Landgraf;Centro;Leme;SP;13610010;-22.189068621470387;-47.396417777910344
