empresa;nome;endereco;bairro;cidade;estado;cep;latitude;longitude
petland;Petland Lins;Rua Dom Bosco;Vila Alta;Lins;SP;16400-505;-2.167.198;-497.574.013
petland;Petland Vila Gumercindo;Rua Tupanaci;Vila Gumercindo;São Paulo;SP;04131-020;-23.548;-463.742.640.957
petland;Petland Textil;;;São Paulo;SP;indisponivel;"
  -23.559.247.496";"
  -465.439.052"
petland;Petland Menino Deus;Avenida Getúlio Vargas;Menino Deus;Porto Alegre;RS;90150-002;-30.037.680.009;-51.23
petland;Petland Arvoredo;Avenida Princesa Isabel;Parque Recreio;Contagem;MG;32110-000;-198.792.202;-440.219.003
petland;Petland Lajeado;Avenida Benjamin Constant;Centro;Lajeado;RS;95900-056;-29.462.995;-519.668.399
petland;Petland Ipiranga;Rua Bom Pastor;Ipiranga;São Paulo;SP;04203-052;-232.977.099.666;-469.090.260.907
petland;Petland Chácara Santo Antônio;Rua Cancioneiro Popular;Santo Amaro;São Paulo;SP;04710-000;-23.548;-469.749.018.514
petland;Petland Limeira;Rua Sete de Setembro;Centro;Limeira;SP;13480-150;-225.665.354;-473.974.368
petland;Petland Vila Mascote;Avenida Mascote;Vila Mascote;São Paulo;SP;04363-000;-232.779.999.695;-463.414.734.789
petland;Petland Tude Bastos;Avenida Irmãos Adorno;Sítio do Campo;Praia Grande;SP;11725-320;-239.970.893;-464.217.894
petland;Petland Araçatuba;Rua Sarjob Mendes;Icaray;Araçatuba;SP;16020-360;-212.236.144;-504.497.105
petland;Petland Grageru;Avenida Ministro Geraldo Barreto Sobral;Grageru;Aracaju;SE;49027-255;-109.451.838;-370.624.862
petland;Petland Aliança;Rua Bom Pastor;Ipiranga;São Paulo;SP;04203-052;-232.977.099.666;-469.090.260.907
petland;Petland Outlet Premium Imigrantes;Estrada da Cama Patente;Alvarenga;São Bernardo do Campo;SP;09842-100;-23.694;-465.388.561.919
petland;Petland Vila A;Avenida Engenheiro Hildemar Leite França;Vila Residencial A;Foz do Iguaçu;PR;85860-320;-255.384.599.903;-54.577.426.122
petland;Petland Tapejara;;;Tapejara;RS;99950-000;-280.678.199.995;-52.014
petland;Petland  São Mateus;Avenida Presidente Itamar Franco;São Mateus;Juiz de Fora;MG;36016-321;-21.768.205;-433.501.397
petland;Petland Rio Branco;Avenida Doutor Ulysses Guimarães;Vila Nogueira;Diadema;SP;09990-080;-236.715.999.944;-466.072.753.633
petland;Petland Parque São Lucas;Rua Francisco Fett;Vila Paulo Silas;São Paulo;SP;03264-000;-236.929.900.171;-46.636
petland;Petland Novo Eldorado;Avenida Doutor Cincinato Cajado Braga;Novo Eldorado;Contagem;MG;32341-310;-199.350.502;-440.526.866
petland;Petland Mexicão;Avenida Capitão-mor Aguiar;Centro;São Vicente;SP;11310-201;-239.671.961;-463.915.641
petland;Petland Marco Belém;Avenida Rômulo Maiorana;Marco;Belém;PA;66093-672;-14.414.112;-484.655.217
petland;Petland Jardim das Flores;Rua Osório Duque Estrada;Pestana;Osasco;SP;06122-000;-235.401.596;-467.977.195
petland;Petland Horto Florestal;Rua Izidro Roque da Silva Telo;Horto Florestal;Sorocaba;SP;18074-745;-235.015.299;-474.525.603
petland;Petland Parque dos Anjos;Avenida Antônio Gomes Correa;Parque dos Anjos;Gravataí;RS;94190-300;-299.277.099.901;-509.732.005.163
petland;Petland Mongaguá;;;Mongaguá;SP;11730-000;-241.075.246;-466.801.919
petland;Petland Campo Bom;;;Campo Bom;RS;93700-000;-296.788.945.671;-510.618.405.609
petland;Petland Brasílio Mall;Rua Brasílio Machado;Centro;São Bernardo do Campo;SP;09715-140;-23.700.210.005;-46.565
petland;Petland Bom Fim;Praça da Alfândega;Centro Histórico;Porto Alegre;RS;90010-150;-300.327.299.961;-51.23
petland;Petland Avenida T1;Avenida T 1;Setor Bueno;Goiânia;GO;74210-025;-167.004.399;-49.276.539
petland;Petland Enseada;Avenida Dom Pedro I;Enseada;Guarujá;SP;11440-000;-239.948.444;-462.568.678
petland;Petland Vinhais;Rua do Arame;Vinhais;São Luís;MA;65074-380;-25.104.119;-442.504.104
petland;Petland Vila São Francisco;Avenida Martin Luther King;Cidade São Francisco;São Paulo;SP;05352-020;-239.428.300.407;-462.053.040.548
petland;Petland Vila Mirim;Rua Primeiro de Maio;Mirim;Praia Grande;SP;11704-710;-240.285.831;-464.881.622
petland;Petland Vila Madalena;Rua Natingui;Vila Madalena;São Paulo;SP;05443-001;-239.543.500.441;-461.927.375.876
petland;Petland Presidente Prudente;Rua Álvares Machado;Vila Euclides;Presidente Prudente;SP;19015-450;-221.270.737;-514.009.725
petland;Petland Varginha;Avenida Francisco Navarra;Centro;Varginha;MG;37006-003;-215.560.669;-454.368.543
petland;Petland Unaí;Rua Eli Pinto de Carvalho;Cruzeiro;Unaí;MG;38616-010;-163.661.499;-46.899.058
petland;Petland Tirol;Avenida Hermes da Fonseca;Tirol;Natal;RN;59020-315;-58.034.577;-352.011.079
