empresa;franquia;nome;telefone;horario_funcionamento;servicos_disponiveis;endereco;bairro;cidade;estado;cep
petlove;1;Loja Braz Leme;(11) 5043-9413;Loja: Seg. à Dom. das 09h às 22h | Banho e tosa: Seg. à Dom. das 09h às 21h | Consultório: Seg. à Dom. das 09h às 21h;, Banho e tosa, Clique e retire, Conexão Wi-fi gratuita, Consulta veterinária, Consultas clínico geral*, Consultas especializadas*, Espaço pet, Estacionamento gratuito (1ª hora), Exames cardiológicos*, Exames de imagem*, Exames laboratoriais*, Microchipagem*, Venda de produtos;Av. Braz Leme 1200;Santana;São Paulo;SP;02525-050
petlove;1;Loja Campo Belo;(11) 4800-3979;Loja: Seg. à Dom. das 09h às 21h | Banho e tosa: Seg. à Dom. das 09h às 21h | Consultório: Seg. à Dom. das 09h às 21h;, Banho e tosa, Clique e retire, Conexão Wi-fi gratuita, Consulta veterinária, Consultas clínico geral*, Consultas especializadas*, Espaço pet, Estacionamento gratuito, Exames cardiológicos*, Exames de imagem*, Exames laboratoriais*, Microchipagem*, Venda de produtos;Rua Pascal 249;Campo Belo;São Paulo;SP;04616-001
petlove;1;Loja Cidade Jardim;(11) 4800-3967;Loja: Seg. à Dom. das 09h às 21h | Banho e tosa: Seg. à Dom. das 09h às 21h | Consultório: Seg. à Dom. das 09h às 21h;, Banho e tosa, Clique e retire, Conexão Wi-fi gratuita, Consulta veterinária, Consultas clínico geral*, Consultas especializadas*, Estacionamento gratuito, Exames cardiológicos*, Exames de imagem*, Exames laboratoriais*, Internações*, Microchipagem*, Venda de produtos;Av. Cidade Jardim 671;Jardim Paulistano;São Paulo;SP;16202-055
petlove;1;Loja Moema;(11) 3042-2113;Loja: Seg. à Dom. das 09h às 20h | Banho e tosa: Seg. à Dom. das 09h às 19h | Consultório: Seg. à Dom. das 09h às 19h;, Banho e tosa, Clique e retire, Conexão Wi-fi gratuita, Consulta veterinária, Consultas clínico geral*, Consultas especializadas*, Espaço pet, Estacionamento gratuito, Exames cardiológicos*, Exames de imagem*, Exames laboratoriais*, Microchipagem*, Venda de produtos;Av. Juriti 32;Vila Uberabinha;São Paulo;SP;04520-000
petlove;1;Loja Oscar Freire;(11) 4800-3974;Loja: Seg. à Dom. das 09h às 21h | Banho e tosa: Seg. à Dom. das 09h às 21h | Consultório: Seg. à Sáb. das 11h às 19h;, Banho e tosa, Clique e retire, Conexão Wi-fi gratuita, Consulta veterinária, Consultas clínico geral*, Consultas especializadas*, Exames cardiológicos*, Exames de imagem*, Exames laboratoriais*, Microchipagem*, Venda de produtos;Rua Oscar Freire 440;Jardim Paulista;São Paulo;SP;01426-000
petlove;1;Loja Perdizes;(11) 3959-4558;Loja: Seg. à Dom. das 09h às 21h | Banho e tosa: Seg. à Dom. das 09h às 19h | Consultório: Seg. à Sáb. das 11h às 19h;, Banho e tosa, Clique e retire, Conexão Wi-fi gratuita, Consulta veterinária, Estacionamento gratuito, Venda de produtos;Rua Ministro Godoi 602;Perdizes;São Paulo;SP;05015-000
petlove;1;Loja Petlove Ponta da Praia;(13) 2398-0001;Loja: Seg. à Dom. das 09h às 21h | Banho e tosa: Seg. à Dom. das 09h às 21h | Consultório: Seg. à Dom. 24h;, Banho e tosa, Clique e retire, Conexão Wi-fi gratuita, Consulta veterinária, Consultas clínico geral*, Consultas especializadas*, Estacionamento gratuito, Exames cardiológicos*, Exames de imagem*, Exames laboratoriais*, Internações*, Microchipagem*, Procedimentos Cirúrgicos*, Venda de produtos;Av Dino Bueno;Ponta da Praia;Santos;SP;11030-350
petlove;1;Loja Portugal;(11) 4800-3965;Loja: Seg. à Dom. das 09h às 21h | Banho e tosa: Seg. à Dom. das 09h às 21h | Consultório: Seg. à Dom. das 09h às 21h;, Banho e tosa, Clique e retire, Conexão Wi-fi gratuita, Consulta veterinária, Consultas clínico geral*, Consultas especializadas*, Espaço pet, Estacionamento gratuito, Exames cardiológicos*, Exames de imagem*, Exames laboratoriais*, Internações*, Microchipagem*, Procedimentos Cirúrgicos*, Venda de produtos;Av. Portugal 751;Vila Bastos;Santo André;SP;09040-011
petlove;1;Loja Ribeirão Preto;(16) 2398-0001;Loja: Seg. à Sáb. das 08h às 21h, Dom. das 09h às 19h | Banho e Tosa: Seg. à Sáb. das 09h às 21h, Domingos e Feriados das 09h às 17h | Consultório: Seg. à Dom. das 09h às 21h;, Banho e tosa, Clique e retire, Conexão Wi-fi gratuita, Consulta veterinária, Estacionamento gratuito, Venda de produtos;Av. Dr. Ângelo Genaro Gallo 135;Jd. Nova Aliança;Ribeirão Preto;SP;14027-000
petlove;1;Loja Santos;(13) 4003-5752;Loja: Seg. à Dom. das 09h às 21h | Banho e tosa: Seg. à Dom. das 09h às 21h | Consultório: Seg. à Dom. 24h;, Banho e tosa, Clique e retire, Conexão Wi-fi gratuita, Consulta veterinária, Consultas clínico geral*, Consultas especializadas*, Estacionamento gratuito, Exames cardiológicos*, Exames de imagem*, Exames laboratoriais*, Internações*, Microchipagem*, Procedimentos Cirúrgicos*, Venda de produtos;Av. Washington Luís 476;Gonzaga;Santos;SP;11055-000
