empresa;franquia;nome;endereco;telefone
petland;1;Petland Vila Gumercindo;R. Tupanaci, 161 – Vila GumercindoSão Paulo – SP;11 9 7026-8737
petland;1;Petland Textil;Avenida Guilherme Giorgi, 1510 – Jardim Têxtil, São Paulo;11 9 4997 6022
petland;1;Petland Menino Deus;Av. Getúlio Vargas, 1010 – Menino Deus, Porto Alegre – RS;(51) 99143-6603
petland;1;Petland Arvoredo;Av. Princesa Isabel, 313 – Arvoredo, Contagem – MG;(31) 3965-2544
petland;1;Petland Lajeado;Avenida Benjamin Constant, 1210 – Centro – Lajeado/RS;(51) 99748-1362
petland;1;Petland Ipiranga;Rua Bom Pastor, 2177 – Ipiranga – São Paulo/SP;(11) 94447-2928
petland;1;Petland Chácara Santo Antônio;Rua Cancioneiro Popular, 403 – Chácara Santo Antônio – São Paulo/SP;(11) 91866-2906
petland;1;Petland Limeira;R. Sete de Setembro, 55 – Centro, Limeira – SP;(19) 99173-5769
petland;1;Petland Vila Mascote;Av. Santa Catarina, 1246 – Vila Mascote, São Paulo – SP;(11) 96473-9793
petland;1;Petland Tude Bastos;Av. Irmãos Adorno, 30 – Sítio do Campo, Praia Grande – SP;(13) 99766-6182
petland;1;Petland Araçatuba;R. Sarjob Mendes, 80 – Icaray, Araçatuba – SP;(18) 3301-3055
petland;1;Petland Grageru;Av. Ministro Geraldo Barreto Sobral, 1396 – Grageru, Aracaju – SE;(79) 98168-0944
petland;1;Petland Aliança;Avenida Salgado filho – nº 850 – Santo Ângelo – RS;(55) 99177-0124
petland;1;Petland Outlet Premium Imigrantes;Estr. da Cama Patente, 6202 – Alvarenga, São Bernardo do Campo – SP;(11) 99945-1359
petland;1;Petland Vila A;Avenida Hildemar Leite França, 726, sala 01 – Foz do Iguaçu – PR;(45) 3027-2664
petland;1;Petland Tapejara;Av. Sete de Setembro, 1385 – Tapejara, RS;(54) 99325-6222
petland;1;Petland  São Mateus;"Av. Presidente Itamar Franco, 2515
Juiz de Fora, MG";(32) 98476-8476
petland;1;Petland Rio Branco;Avenida Ulisses Guimarães, 290 – São Vicente – SP;(13) 97812-1010
petland;1;Petland Parque São Lucas;Rua Francisco Fett, 500 – São Paulo, SP;(11) 3205-4962
